ID pvalue
GO:1904064 4.6485440916926e-06
GO:0003002 4.68914610778744e-06
GO:1901653 4.94938587223559e-06
GO:0046718 5.2383939937837e-06
GO:0032535 5.27074937880253e-06
GO:0032409 5.45829616849622e-06
GO:0006096 6.19662247154362e-06
GO:0044409 6.27889820249412e-06
GO:1902904 6.36589296326405e-06
GO:0086064 6.53738064896046e-06
GO:0042063 6.74248500988726e-06
GO:0140694 6.91945771917653e-06
GO:0003171 6.93678960187594e-06
GO:0002011 7.02248668779781e-06
GO:0033002 8.4707455165191e-06
GO:0050905 8.55195456399153e-06
GO:0001667 8.97843833411944e-06
GO:0086002 8.99394629366857e-06
GO:1901796 9.08379390343267e-06
GO:0051701 9.5244628487912e-06
GO:0007162 9.56967360565795e-06
GO:0046032 9.60978074446561e-06
GO:0008064 9.70278437188945e-06
GO:0051170 9.952862891166e-06
GO:0060348 1.03790626818311e-05
GO:0003181 1.08675251896367e-05
GO:1901021 1.09513364324959e-05
GO:0031334 1.11076671310186e-05
GO:0044042 1.14177476721375e-05
GO:0014904 1.1470228159428e-05
GO:0006606 1.14896701655033e-05
GO:0060411 1.17804365990454e-05
GO:0030198 1.21178583104919e-05
GO:0042254 1.23488642859603e-05
GO:0006006 1.29495243299424e-05
GO:0009135 1.33479603667778e-05
GO:0009179 1.33479603667778e-05
GO:0043062 1.33945020056574e-05
GO:0045746 1.34735866001649e-05
GO:0048741 1.34735866001649e-05
GO:0032414 1.36818345960323e-05
GO:0007409 1.3890234294459e-05
GO:0019364 1.46548818428959e-05
GO:0055006 1.46548818428959e-05
GO:0045229 1.47949976303619e-05
GO:0045661 1.50428585164861e-05
GO:0086005 1.53778206324368e-05
GO:0150116 1.54174342380404e-05
GO:0030832 1.54379820796865e-05
GO:0051893 1.54935337769853e-05
GO:0090109 1.54935337769853e-05
GO:0016051 1.6158546422686e-05
GO:0060562 1.63302562721049e-05
GO:0002028 1.70821661548012e-05
GO:0098781 1.75587136926194e-05
GO:0006109 1.75798827253371e-05
GO:0009137 1.79886615735812e-05
GO:0009181 1.79886615735812e-05
GO:0019362 1.79902625794348e-05
GO:0046496 1.79902625794348e-05
GO:0007163 1.88194661730011e-05
GO:0003281 1.9098227889892e-05
GO:0048638 1.91932035559034e-05
GO:0035886 1.92703149795182e-05
GO:0086009 1.93591200995142e-05
GO:0051494 2.08143232454726e-05
GO:0071375 2.09274042073366e-05
GO:0050921 2.36268701202753e-05
GO:0009134 2.41607048119257e-05
GO:0060216 2.50570395432129e-05
GO:0048863 2.64129528460789e-05
GO:0072526 2.67924605757831e-05
GO:0001702 2.74365229384572e-05
GO:0060512 2.74365229384572e-05
GO:0001508 2.78804071429594e-05
GO:0070588 2.82759199393564e-05
GO:0003151 2.83436924637167e-05
GO:0032411 2.95385053028125e-05
GO:0006874 3.19887047468344e-05
GO:0055013 3.23464166078867e-05
GO:0009191 3.25155935854433e-05
GO:0034109 3.25155935854433e-05
GO:0032233 3.39007267831205e-05
GO:0048010 3.39007267831205e-05
GO:0016055 3.39699769681276e-05
GO:0032869 3.56081117518193e-05
GO:1901550 3.60635119484973e-05
GO:1903140 3.60635119484973e-05
GO:0031099 3.68661865904824e-05
GO:0048754 3.74379725787884e-05
GO:0032436 3.78215896101361e-05
GO:0045216 3.87298510163855e-05
GO:0045927 3.90481346352677e-05
GO:0198738 3.97260419289742e-05
GO:0072524 4.20330072604144e-05
GO:0043467 4.33081169361093e-05
GO:0051279 4.33676446993972e-05
GO:0006816 4.55621124186984e-05
GO:0048732 4.61663763039663e-05
GO:0072331 4.70764438344926e-05
GO:0055074 4.71429550669105e-05
GO:0009154 4.99932458162003e-05
GO:0014896 5.04665852327202e-05
GO:0050808 5.36731857053931e-05
GO:0086004 5.44023428274655e-05
GO:0006090 5.50537317398243e-05
GO:0120163 5.55854625993774e-05
